station_id,latitude,longitude,availableDocks
136,40.73291553,-74.00711384,32
137,40.75510267,-73.97498696,30
138,40.70717936,-74.00887308,30
139,40.71605866,-73.99190759,41
140,40.75172632,-73.98753523,55
141,40.70834698,-74.01713445,46
142,40.68900443,-73.96023854,17
143,40.68223166,-73.9614583,20
144,40.693261,-73.968896,21
145,40.75828065,-73.97069431,11
146,40.73038599,-74.00214988,13
147,40.73224119,-74.00026394,34
148,40.694528,-73.958089,14
149,40.69331716,-73.95381995,3
150,40.72679454,-73.99695094,17
151,40.70862144,-74.00722156,10
152,40.72243797,-74.00566443,5
153,40.73401143,-74.00293877,6
154,40.735238,-74.000271,18
155,40.683048,-73.964915,20
156,40.75797322,-73.96603308,24
157,40.71494807,-74.00234482,7
158,40.71273266,-74.0046073,28
159,40.74971775,-74.00295035,23
160,40.71044554,-73.96525063,26
161,40.69221589,-73.9842844,6
162,40.69760127,-73.99344559,13
163,40.695065,-73.987167,17
164,40.72299208,-73.97995466,28
165,40.72521311,-73.97768752,24
166,40.68807003,-73.98410637,9
167,40.68034242,-73.95576894,22
168,40.68415748,-73.96922273,27
169,40.69165183,-73.9999786,18
170,40.68851534,-73.9647628,14
171,40.71926081,-73.98178024,10
172,40.72019576,-73.98997825,39
173,40.7403432,-73.98955109,14
174,40.72502876,-73.99069656,17
175,40.739323,-74.008119,22
176,40.69512845,-73.99595065,12
177,40.700469,-73.991454,32
178,40.71076228,-73.99400398,20
179,40.6906495,-73.95643107,17
180,40.72066442,-73.98517977,32
181,40.72228087,-73.97668709,19
182,40.7158155,-73.99422366,25
183,40.70281858,-73.98765762,11
184,40.7047177,-74.00926027,18
185,40.68753406,-73.97265183,28
186,40.71291224,-74.01020234,5
187,40.70224,-73.982578,10
188,40.69580705,-73.97355569,22
189,40.68764484,-73.96968902,23
190,40.69573398,-73.97129668,9
191,40.770513,-73.988038,49
192,40.76584941,-73.98690506,3
193,40.71754834,-74.01322069,11
194,40.701907,-74.013942,15
195,40.72467721,-73.98783413,18
196,40.7014851,-73.98656928,2
197,40.72621788,-73.98379855,30
198,40.72955361,-73.98057249,39
199,40.74317449,-74.00366443,21
200,40.74173969,-73.99415556,10
201,40.68216564,-73.95399026,19
202,40.68098339,-73.95004798,16
203,40.72779126,-73.98564945,25
204,40.7262807,-73.98978041,31
205,40.75255434,-73.97282625,26
206,40.756014,-73.967416,29
207,40.746647,-73.993915,24
208,40.70853074,-73.96408963,21
209,40.7423543,-73.98915076,5
210,40.72740794,-73.98142006,21
211,40.74487634,-73.99529885,22
212,40.76370739,-73.9851615,20
213,40.75660359,-73.9979009,28
214,40.76461837,-73.98789473,29
215,40.76227205,-73.98788205,53
216,40.74475148,-73.99915362,26
217,40.75455731,-73.96592976,33
218,40.7597108,-73.97402311,20
219,40.76695317,-73.98169333,16
220,40.751396,-74.005226,8
221,40.746745,-74.007756,22
222,40.71285887,-73.96590294,5
223,40.73587678,-73.98205027,37
224,40.74691959,-74.00451887,34
225,40.74206539,-74.00443172,8
226,40.75513557,-73.98658032,36
227,40.74395411,-73.99144871,21
228,40.68312489,-73.97895137,11
229,40.7652654,-73.98192338,57
230,40.76344058,-73.98268129,56
231,40.74345335,-74.00004031,29
232,40.71286844,-73.95698119,7
233,40.7457121,-73.98194829,40
234,40.72110063,-73.9919254,33
235,40.7451677,-73.98683077,24
236,40.73524276,-73.98758561,21
237,40.74394314,-73.97966069,46
238,40.75640548,-73.9900262,14
239,40.76030096,-73.99884222,28
240,40.76019252,-73.9912551,18
241,40.76669671,-73.99061728,26
242,40.71260486,-73.96264403,14
243,40.73935542,-73.99931783,36
244,40.73223272,-73.98889957,31
245,40.75500254,-73.98014437,32
246,40.75038009,-73.98338988,35
247,40.7462009,-73.98855723,33
248,40.73314259,-73.97573881,28
249,40.75645824,-73.99372222,25
250,40.75066386,-74.00176802,34
251,40.751551,-73.993934,19
252,40.74096374,-73.98602213,32
253,40.7568001,-73.98291153,12
254,40.74734825,-73.99723551,23
255,40.76269882,-73.99301222,23
256,40.73726186,-73.99238967,24
257,40.73704984,-73.99009296,59
258,40.74854862,-73.98808416,30
259,40.76915505,-73.98191841,24
260,40.76228826,-73.98336183,52
261,40.744219,-73.97121214,17
262,40.714215,-73.981346,29
263,40.73827428,-73.98751968,2
264,40.73221853,-73.98165557,42
265,40.74901271,-73.98848395,28
266,40.73912601,-73.97973776,47
267,40.76341379,-73.99667444,13
268,40.7454973,-74.00197139,2
269,40.7606597,-73.98042047,16
270,40.72938685,-73.97772429,28
271,40.7500727,-73.99839279,18
272,40.768254,-73.988639,27
273,40.76087502,-74.00277668,32
274,40.76009437,-73.99461843,24
275,40.75206862,-73.96784384,29
276,40.751581,-73.97791,57
277,40.74780373,-73.9734419,34
278,40.751873,-73.977706,32
279,40.75992262,-73.97648516,15
280,40.75096735,-73.99444208,1
281,40.75714758,-73.97207836,28
282,40.75466591,-73.99138152,36
283,40.75527307,-73.98316936,35
284,40.75594159,-74.0021163,30
285,40.74765947,-73.98490707,34
286,40.744023,-73.976056,57
287,40.74290902,-73.97706058,30
288,40.7575699,-73.99098507,8
289,40.771522,-73.990541,33
290,40.71893904,-73.99266288,37
291,40.710451,-73.960876,31
292,40.75299641,-73.98721619,39
293,40.70255065,-74.0127234,4
294,40.74144387,-73.97536082,25
295,40.74025878,-73.98409214,31
296,40.71534825,-73.96024116,20
297,40.74311555,-73.98215353,25
298,40.736502,-73.97809472,21
299,40.74444921,-73.98303529,24
300,40.70255088,-73.98940236,15
301,40.699773,-73.979927,8
302,40.716887,-73.963198,19
303,40.73381219,-73.98054421,31
304,40.724399,-74.004704,10
305,40.70531194,-73.97100056,6
306,40.76590936,-73.97634151,29
307,40.70569254,-74.01677685,11
308,40.71117444,-73.99682619,34
309,40.72165481,-74.00234737,39
310,40.739445,-73.976806,21
311,40.75022392,-73.97121414,39
312,40.75929124,-73.98859651,43
313,40.759107,-73.959223,31
314,40.75968085,-73.97031366,26
315,40.711512,-74.015756,18
316,40.67890679,-73.94142771,21
317,40.6794268,-73.9298911,2
318,40.6814598,-73.934903,13
319,40.6800105,-73.938475,24
320,40.682601,-73.938037,11
321,40.6823687,-73.944118,20
322,40.68402,-73.94977,12
323,40.68488,-73.96304,18
324,40.6851532,-73.94111,20
325,40.686312,-73.935775,15
326,40.6900815,-73.947915,14
327,40.6894932,-73.942061,17
328,40.6883337,-73.950916,22
329,40.69072549,-73.95133465,18
330,40.69128258,-73.9452416,16
331,40.69237074,-73.93705428,19
332,40.6933982,-73.939877,17
333,40.69425403,-73.94626915,19
334,40.69622937,-73.94371094,19
335,40.69539817,-73.94954908,20
336,40.69527008,-73.95238108,11
337,40.69681963,-73.93756926,17
338,40.70029511,-73.95032283,26
339,40.69957608,-73.94708417,14
340,40.7016657,-73.9437303,5
341,40.7031724,-73.940636,9
342,40.70411791,-73.94818595,9
343,40.70510918,-73.94407279,23
344,40.70538077,-73.94976519,13
345,40.70583339,-73.94644578,8
346,40.70691254,-73.95441667,27
347,40.70767788,-73.94016171,6
348,40.70708701,-73.95796783,28
349,40.70870368,-73.9448625,23
350,40.70877084,-73.95095259,33
351,40.70925562,-73.95982218,14
352,40.71103537,-73.94714303,7
353,40.70934,-73.95608,18
354,40.711863,-73.944024,23
355,40.71167351,-73.95141312,25
356,40.71247661,-73.94100005,22
357,40.71348658,-73.94792458,9
358,40.71469,-73.95739,10
359,40.715143,-73.944507,6
360,40.7160751,-73.952029,14
361,40.7173184,-73.94820213,16
362,40.71764,-73.94882,27
363,40.7190095,-73.95852515,19
364,40.71745169,-73.95850939,9
365,40.7169811,-73.94485918,18
366,40.71929301,-73.94500379,23
367,40.71924,-73.95242,30
368,40.71921585,-73.9424469,18
369,40.71928,-73.94861,38
370,40.7215224,-73.94898266,13
371,40.72079821,-73.95484712,16
372,40.72179134,-73.9504154,23
373,40.72153267,-73.95782357,21
374,40.72057658,-73.96150225,25
375,40.724055,-73.955736,21
376,40.72325,-73.94308,19
377,40.72311651,-73.95212324,23
378,40.72557,-73.94434,21
379,40.72606,-73.95621,24
380,40.72708584,-73.95299117,27
381,40.7258483,-73.95064893,22
382,40.72906,-73.95779,2
383,40.73026,-73.95394,18
384,40.73165141,-73.96161892,12
385,40.73232194,-73.9550858,30
386,40.73266,-73.95826,34
387,40.73564,-73.95866,22
388,40.73555,-73.95284,26
389,40.74232744,-73.95411749,5
390,40.74161,-73.96044,19
391,40.74524768,-73.94733276,9
392,40.74436329,-73.95587325,12
393,40.74469738,-73.93540375,7
394,40.74731,-73.95451,13
395,40.74708586,-73.94977234,9
396,40.74966,-73.9521,2
397,40.75110165,-73.94073717,21
398,40.76350532,-73.97109243,26
399,40.76312584,-73.96526895,49
400,40.77112927,-73.95772297,32
401,40.76650452,-73.97147595,28
402,40.77282817,-73.96685276,28
403,40.77440546,-73.96175265,42
404,40.77118288,-73.96409422,42
405,40.77140426,-73.9535166,34
406,40.76500525,-73.95818491,57
407,40.7612274,-73.96094022,54
408,40.77682863,-73.96388769,23
409,40.77677702,-73.9590097,20
410,40.77862688,-73.95772073,54
411,40.77573034,-73.9567526,40
412,40.77801203,-73.95407149,34
413,40.77565541,-73.95068615,27
414,40.77536905,-73.94803392,46
415,40.7728384,-73.94989233,41
416,40.76817547,-73.95910263,30
417,40.77314236,-73.95856158,18
418,40.76440023,-73.96648977,25
419,40.76663814,-73.95348296,28
420,40.77518615,-73.94446054,40
421,40.77163851,-73.98261428,31
422,40.77492513,-73.98266566,26
423,40.77896784,-73.97374737,38
424,40.78018397,-73.97728533,59
425,40.78339981,-73.98093133,34
426,40.7734066,-73.97782542,38
427,40.7770575,-73.97898475,62
428,40.77579377,-73.97620574,51
429,40.78057799,-73.98562431,40
430,40.77966809,-73.98093045,45
431,40.78472675,-73.96961715,26
432,40.78720869,-73.98128127,57
433,40.78499979,-73.97283406,31
434,40.78524672,-73.97667321,37
435,40.7785669,-73.97754961,25
436,40.77750703,-73.98888588,59
437,40.77748046,-73.98288594,30
438,40.77452835,-73.98753759,39
439,40.7867947,-73.977112,54
440,40.78414472,-73.98362492,59
441,40.698617,-73.941342,17
442,40.69878,-73.99712,29
443,40.7162469,-74.0334588,14
444,40.7141454,-74.0335519,8
445,40.7177325,-74.043845,11
446,40.7192789,-74.0424515,5
447,40.7211236,-74.03805095,12
448,40.7101087,-74.0858489,18
449,40.714402,-74.0887723,10
450,40.7108044,-74.0714882,18
451,40.7182113,-74.0836394,11
452,40.7112423,-74.0557013,16
453,40.7244188,-74.0780383,18
454,40.7256033,-74.06763,11
455,40.7309459,-74.0638906,7
456,40.7443187,-74.0439909,15
457,40.752559,-74.044725,10
458,40.7485362,-74.0403131,18
459,40.7287448,-74.0321082,8
460,40.7111305,-74.0788855,10
461,40.737711,-74.066921,18
462,40.7272235,-74.0337589,5
463,40.72759597,-74.04424731,14
464,40.7165271,-74.049425,15
465,40.7311689,-74.0575736,22
466,40.7376037,-74.0524783,12
467,40.7241765,-74.0506564,17
468,40.74267714,-74.05178863,9
469,40.72152515,-74.04630454,13
470,40.73478582,-74.05044364,17
471,40.71848892,-74.04772663,11
472,40.7127742,-74.0364857,22
473,40.7467299,-74.0492509,15
474,40.6970299,-74.0969366,11
475,40.69865054,-74.08207968,12
476,40.73496102,-74.05950308,12
477,40.743,-73.93561,12
478,40.6851596,-73.97711366,21
479,40.75899656,-73.96865398,50
480,40.73997354,-74.00513873,29
481,40.7236589,-74.0641943,10
482,40.78275,-73.97137,45
483,40.68061768,-73.94624949,19
484,40.7512836,-73.99692446,7
485,40.7678008,-73.96592081,48
486,40.68962189,-73.98304269,20
487,40.75724568,-73.97805914,17
488,40.75216528,-73.97992194,27
489,40.75898481,-73.99379969,7
490,40.75383343,-73.94267678,17
491,40.7739139,-73.95439535,35
492,40.686203,-73.944694,18
493,40.69102926,-73.99183363,5
494,40.75892386,-73.96226227,28
495,40.73143724,-73.99490342,27
