,cluster,longitude,latitude,demand,working_time,availableDocks
36,1.0,118.78431709999998,32.03437771,19.0,0.95,38.0
37,1.0,118.77821499999999,32.0312376,-4.0,0.77756803,29.0
38,1.0,118.7997815,32.03300596,-46.0,5.80422132,41.0
39,1.0,118.7752435,32.02600727,-29.0,5.64540813,35.0
40,1.0,118.7869168,32.01954003,11.0,0.55,52.0
41,1.0,118.80098219999999,32.02563309,5.0,0.25,21.0
42,1.0,118.79144779999999,32.02840003,28.0,1.4,30.0
43,1.0,118.78115559999999,32.02218454,146.0,7.3,146.0
44,1.0,118.77114990000001,32.03107304,-22.0,6.95221084,35.0
45,1.0,118.795703,32.03116267,-1.0,0.27816703,28.0
46,1.0,118.78277879999999,32.01690857,-6.0,0.95840186,43.0
47,1.0,118.79251529999999,32.01966559,-34.0,7.00615945,35.0
48,1.0,118.78015740000001,32.01823885,-5.0,1.00108778,31.0
49,1.0,118.7930702,32.00628556,1.0,0.05,23.0
50,1.0,118.7815227,32.03040206,-3.0,0.31524926,51.0
51,1.0,118.79292859999998,32.03447968,14.0,0.7,100.0
52,1.0,118.79859779999998,32.02854132,5.0,0.25,46.0
53,1.0,118.76846100000002,32.010714799999995,-4.0,0.72201966,6.0
54,1.0,118.77596170000001,32.02319588,-5.0,0.69735416,56.0
55,1.0,118.7861332,32.00868469,19.0,0.95,52.0
56,1.0,118.79069380000001,32.01050694,-39.0,10.6456729,43.0
57,1.0,118.789185,32.03308922,-24.0,4.68096262,40.0
58,1.0,118.7747977,32.01856163,-7.0,3.16496799,28.0
59,1.0,118.7869051,32.02925815,34.0,1.7,61.0
60,1.0,118.7843969,32.02278833,-19.0,5.10368697,51.0
61,1.0,118.778888,32.01612889,-21.0,3.5376813,46.0
62,1.0,118.80226440000001,32.03284235,11.0,0.55,44.0
63,1.0,118.7840108,32.03023152,56.0,2.8,91.0
64,1.0,118.78575320000002,32.01739763,44.0,2.2,57.0
65,1.0,118.7829072,32.02782025,-12.0,3.27082587,32.0
66,1.0,118.7893226,32.0280262,32.0,1.6,53.0
67,1.0,118.7911222,32.03575971,-3.0,0.63927396,57.0
68,1.0,118.7872905,32.02496805,-12.0,2.86140826,33.0
69,1.0,118.79856699999999,32.03078746,-20.0,3.26920991,41.0
70,1.0,118.7998598,32.02025208,14.0,0.7,23.0
71,1.0,118.777529,32.02814351,7.0,0.35,38.0
72,1.0,118.7865854,32.03392049,28.0,1.4,46.0
73,1.0,118.7892869,32.01819974,1.0,0.05,38.0
74,1.0,118.7711469,32.02187131,-45.0,8.76230927,43.0
75,1.0,118.7912936,32.02347394,-38.0,6.16486174,78.0
76,1.0,118.7972946,32.02177504,-16.0,3.24293089,31.0
77,1.0,118.79405320000001,32.01255252,10.0,0.5,65.0
78,1.0,118.77317169999999,32.02343524,-32.0,5.72823219,45.0
79,1.0,118.7987262,32.02631961,-55.0,12.1087552,41.0
80,1.0,118.7818725,32.02377507,65.0,3.25,79.0
81,1.0,118.78221,32.03485821,-23.0,3.70704381,33.0
82,1.0,118.79264029999999,32.01731988,-9.0,2.28466986,24.0
83,1.0,118.7911247,32.0132208,4.0,0.2,22.0
84,1.0,118.78393,32.01486556,-12.0,1.68763676,30.0
85,1.0,118.77994550000001,32.03380234,-26.0,3.64845476,32.0
86,1.0,118.7833119,32.01866628,16.0,0.8,49.0
87,1.0,118.78867749999999,32.0308414,-29.0,5.57033987,34.0
88,1.0,118.7812221,32.02013203,26.0,1.3,34.0
89,1.0,118.77733629999999,32.02546351,-11.0,2.57992566,40.0
90,1.0,118.7852727,32.02535463,5.0,0.25,82.0
91,1.0,118.78948500000001,32.02368111,-10.0,1.56466491,39.0
92,1.0,118.77496470000001,32.02056452,-21.0,5.58848274,46.0
93,1.0,118.7925774,32.02143717,4.0,0.2,23.0
94,1.0,118.79151399999999,32.03024651,7.0,0.35,27.0
95,1.0,118.778099,32.01343555,-7.0,1.27892427,13.0
96,1.0,118.7707531,32.02702688,-15.0,4.97435272,37.0
97,1.0,118.79412190000001,32.02517276,-22.0,5.72129064,53.0
98,1.0,118.7710844,32.02406656,-13.0,3.02228888,44.0
99,1.0,118.7839438,32.0321142,20.0,1.0,85.0
100,-1.0,118.78592993692543,32.02272043890823,0.0,0.0,
